2026-04-11T20:57:30 | update=13 | finalize_exact_rate=0.1016 | early_success_discount_rate=0.5645 | finalize_partial_rate=0.0527 | non_finalize_no_credit_rate=0.2812 | avg_rounds=19.143 | avg_verify_tokens=18.330 | any_exact_rate=0.6660 | reward_base_mean=0.3298 | token_penalty_mean=0.0217 | rounds_penalty_mean=0.0096 | reward_final_mean=0.2139 | entropy=1.7324 | clipfrac=0.0000 | policy_loss=-0.1254 | value_loss=0.0618 | explained_var=0.1798 | t_update=86.880s
2026-04-11T20:58:59 | update=14 | finalize_exact_rate=0.0801 | early_success_discount_rate=0.6602 | finalize_partial_rate=0.0645 | non_finalize_no_credit_rate=0.1953 | avg_rounds=19.312 | avg_verify_tokens=18.494 | any_exact_rate=0.7402 | reward_base_mean=0.3494 | token_penalty_mean=0.0220 | rounds_penalty_mean=0.0097 | reward_final_mean=0.2322 | entropy=1.7066 | clipfrac=0.0000 | policy_loss=-0.0123 | value_loss=0.0464 | explained_var=-0.0982 | t_update=88.987s
2026-04-11T21:00:27 | update=15 | finalize_exact_rate=0.0742 | early_success_discount_rate=0.4961 | finalize_partial_rate=0.0430 | non_finalize_no_credit_rate=0.3867 | avg_rounds=19.885 | avg_verify_tokens=19.031 | any_exact_rate=0.5703 | reward_base_mean=0.2775 | token_penalty_mean=0.0226 | rounds_penalty_mean=0.0099 | reward_final_mean=0.1566 | entropy=1.7363 | clipfrac=0.0000 | policy_loss=-0.0253 | value_loss=0.0848 | explained_var=0.1753 | t_update=87.664s
2026-04-11T21:01:57 | update=16 | finalize_exact_rate=0.1016 | early_success_discount_rate=0.7520 | finalize_partial_rate=0.0430 | non_finalize_no_credit_rate=0.1035 | avg_rounds=19.170 | avg_verify_tokens=18.355 | any_exact_rate=0.8535 | reward_base_mean=0.4047 | token_penalty_mean=0.0220 | rounds_penalty_mean=0.0096 | reward_final_mean=0.2876 | entropy=1.7731 | clipfrac=0.0000 | policy_loss=-0.2274 | value_loss=0.0759 | explained_var=0.1076 | t_update=89.717s
2026-04-11T21:03:23 | update=17 | finalize_exact_rate=0.0527 | early_success_discount_rate=0.6602 | finalize_partial_rate=0.0938 | non_finalize_no_credit_rate=0.1934 | avg_rounds=19.285 | avg_verify_tokens=18.453 | any_exact_rate=0.7129 | reward_base_mean=0.3239 | token_penalty_mean=0.0219 | rounds_penalty_mean=0.0096 | reward_final_mean=0.2069 | entropy=1.7390 | clipfrac=0.0000 | policy_loss=0.1396 | value_loss=0.0534 | explained_var=0.0272 | t_update=86.338s
2026-04-11T21:04:55 | update=18 | finalize_exact_rate=0.0332 | early_success_discount_rate=0.6875 | finalize_partial_rate=0.0664 | non_finalize_no_credit_rate=0.2129 | avg_rounds=19.910 | avg_verify_tokens=19.057 | any_exact_rate=0.7207 | reward_base_mean=0.3122 | token_penalty_mean=0.0228 | rounds_penalty_mean=0.0100 | reward_final_mean=0.1906 | entropy=1.7090 | clipfrac=0.0000 | policy_loss=-0.0703 | value_loss=0.0512 | explained_var=0.0990 | t_update=91.588s
2026-04-11T21:06:21 | update=19 | finalize_exact_rate=0.0723 | early_success_discount_rate=0.5898 | finalize_partial_rate=0.0840 | non_finalize_no_credit_rate=0.2539 | avg_rounds=19.229 | avg_verify_tokens=18.416 | any_exact_rate=0.6621 | reward_base_mean=0.3138 | token_penalty_mean=0.0217 | rounds_penalty_mean=0.0096 | reward_final_mean=0.1981 | entropy=1.7240 | clipfrac=0.0000 | policy_loss=-0.1237 | value_loss=0.0590 | explained_var=0.1221 | t_update=86.162s
2026-04-11T21:07:53 | update=20 | finalize_exact_rate=0.0820 | early_success_discount_rate=0.6777 | finalize_partial_rate=0.0293 | non_finalize_no_credit_rate=0.2109 | avg_rounds=19.973 | avg_verify_tokens=19.129 | any_exact_rate=0.7598 | reward_base_mean=0.3545 | token_penalty_mean=0.0228 | rounds_penalty_mean=0.0100 | reward_final_mean=0.2328 | entropy=1.6693 | clipfrac=0.0000 | policy_loss=-0.1009 | value_loss=0.0503 | explained_var=0.1553 | t_update=92.109s
2026-04-11T21:09:24 | update=21 | finalize_exact_rate=0.0469 | early_success_discount_rate=0.6133 | finalize_partial_rate=0.0254 | non_finalize_no_credit_rate=0.3145 | avg_rounds=21.012 | avg_verify_tokens=20.121 | any_exact_rate=0.6602 | reward_base_mean=0.2936 | token_penalty_mean=0.0238 | rounds_penalty_mean=0.0105 | reward_final_mean=0.1665 | entropy=1.6204 | clipfrac=0.0000 | policy_loss=-0.0016 | value_loss=0.0493 | explained_var=0.1798 | t_update=90.803s
2026-04-11T21:10:56 | update=22 | finalize_exact_rate=0.0684 | early_success_discount_rate=0.6250 | finalize_partial_rate=0.0566 | non_finalize_no_credit_rate=0.2500 | avg_rounds=19.500 | avg_verify_tokens=18.670 | any_exact_rate=0.6934 | reward_base_mean=0.3216 | token_penalty_mean=0.0225 | rounds_penalty_mean=0.0097 | reward_final_mean=0.2019 | entropy=1.7273 | clipfrac=0.0000 | policy_loss=0.0961 | value_loss=0.0592 | explained_var=0.0614 | t_update=92.245s
